episode,task_id,epsilon,steps,total_reward,mean_td_loss
170,medium_busy_opd,0.2992,40,-4.3081,0.117746
171,hard_mass_casualty,0.2989,60,-20.1931,0.256254
172,easy_small_clinic,0.2986,20,1.91,0.015469
173,medium_busy_opd,0.2983,40,-1.5628,0.105761
174,hard_mass_casualty,0.298,60,-20.3642,0.201752
175,easy_small_clinic,0.2977,20,1.9375,0.019142
176,medium_busy_opd,0.2974,40,-14.1263,0.236036
177,hard_mass_casualty,0.2971,60,-6.1151,0.058634
178,easy_small_clinic,0.2968,20,-0.0025,0.009887
179,medium_busy_opd,0.2965,40,-11.719,0.266303
180,hard_mass_casualty,0.2962,60,-9.2797,0.04411
181,easy_small_clinic,0.2959,20,1.02,0.017383
182,medium_busy_opd,0.2956,40,-4.7741,0.059118
183,hard_mass_casualty,0.2953,60,-15.1469,0.039272
184,easy_small_clinic,0.295,20,1.54,0.017563
185,medium_busy_opd,0.2947,40,-2.9069,0.028043
186,hard_mass_casualty,0.2944,60,-17.0775,0.193202
187,easy_small_clinic,0.2941,20,1.6275,0.013206
188,medium_busy_opd,0.2938,40,-5.5659,0.107131
189,hard_mass_casualty,0.2935,60,-8.5173,0.075129
190,easy_small_clinic,0.2932,20,1.143,0.013157
191,medium_busy_opd,0.2929,40,-10.1148,0.242109
192,hard_mass_casualty,0.2926,60,-15.3912,0.102366
193,easy_small_clinic,0.2923,20,0.2095,0.023454
194,medium_busy_opd,0.292,40,-3.8119,0.043812
195,hard_mass_casualty,0.2917,60,-16.8285,0.188126
196,easy_small_clinic,0.2914,20,1.8775,0.022998
197,medium_busy_opd,0.2911,40,-8.5308,0.147835
198,hard_mass_casualty,0.2908,60,-16.9926,0.070823
199,easy_small_clinic,0.2905,20,-2.8425,0.071825
200,medium_busy_opd,0.2902,40,-5.6528,0.111161
201,hard_mass_casualty,0.2899,60,-7.8449,0.025894
202,easy_small_clinic,0.2896,20,-0.76,0.082359
203,medium_busy_opd,0.2893,40,-19.7755,0.569041
204,hard_mass_casualty,0.289,60,-4.9598,0.028166
205,easy_small_clinic,0.2887,20,1.7825,0.034468
206,medium_busy_opd,0.2884,40,-2.871,0.08084
207,hard_mass_casualty,0.2881,60,-16.4886,0.105089
208,easy_small_clinic,0.2878,20,1.823,0.023826
209,medium_busy_opd,0.2875,40,-1.3006,0.027897
210,hard_mass_casualty,0.2872,60,-6.7097,0.047708
211,easy_small_clinic,0.2869,20,1.5625,0.030959
212,medium_busy_opd,0.2866,40,-3.4635,0.047203
213,hard_mass_casualty,0.2863,60,-13.9174,0.08258
214,easy_small_clinic,0.286,20,2.28,0.021448
215,medium_busy_opd,0.2857,40,1.2557,0.137393
216,hard_mass_casualty,0.2854,60,-9.5858,0.085529
217,easy_small_clinic,0.2851,20,1.79,0.016116
218,medium_busy_opd,0.2848,40,1.0422,0.017049
219,hard_mass_casualty,0.2845,60,-10.388,0.11559
220,easy_small_clinic,0.2842,20,1.925,0.011644
221,medium_busy_opd,0.2839,40,-1.5983,0.018294
222,hard_mass_casualty,0.2836,60,-13.5145,0.149559
223,easy_small_clinic,0.2833,20,1.8825,0.014328
224,medium_busy_opd,0.283,40,-0.7872,0.012695
225,hard_mass_casualty,0.2827,60,-12.2432,0.077381
226,easy_small_clinic,0.2824,20,1.0675,0.005351
227,medium_busy_opd,0.2821,40,-3.7235,0.04545
228,hard_mass_casualty,0.2818,60,-0.8699,0.025308
229,easy_small_clinic,0.2815,20,1.88,0.018401
230,medium_busy_opd,0.2812,40,-2.6667,0.027383
231,hard_mass_casualty,0.2809,60,-9.7591,0.123075
232,easy_small_clinic,0.2806,20,1.19,0.008197
233,medium_busy_opd,0.2803,40,-0.9113,0.037193
234,hard_mass_casualty,0.28,60,-13.2619,0.120834
235,easy_small_clinic,0.2797,20,-1.0205,0.040922
236,medium_busy_opd,0.2794,40,-0.0823,0.018125
237,hard_mass_casualty,0.2791,60,-10.4044,0.083422
238,easy_small_clinic,0.2788,20,1.8725,0.027656
239,medium_busy_opd,0.2785,40,-5.8976,0.07288
